# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.45296, -1.71982, -1.88426, -1.78962, -2.12306, -2.47234, -2.32008, -2.7064, -2.8346, -2.96977, -2.65558, -2.44586, -3.0904, -2.82373, -3.21132, -3.0386, -3.07117, -3.26593, -3.67621, -3.49615, -3.53681, -3.56323, -3.73812, -3.52115, -3.45471, -3.65348, -3.96245, -3.96276, -4.01, -4.17555
0.02, 0.0319375, -1.44708, -1.63639, -1.28502, -2.04981, -1.32565, -1.22237, -1.65373, -1.66313, -1.4065, -1.41793, -1.83667, -1.88701, -2.10978, -1.92423, -2.49195, -2.04645, -2.22784, -2.18355, -2.52805, -2.66723, -2.58865, -2.20254, -2.25669, -2.75903, -2.96025, -3.2232, -3.15182, -3.44839, -3.31629, -3.19267
0.04, 0.0319375, -1.51484, -0.960629, -1.57079, -1.17588, -0.973208, -1.50983, -1.73174, -1.71001, -1.02385, -1.29364, -1.6237, -1.16552, -1.37765, -1.59944, -1.86131, -1.81601, -2.02483, -2.33209, -1.76151, -1.87094, -2.27092, -1.94329, -1.96273, -2.21072, -2.26744, -2.4348, -2.69357, -2.9846, -3.03085, -3.00363
0.06, 0.0319375, 0.0347758, -0.307575, -1.12464, -0.818636, -0.725143, -0.184566, -0.302451, -0.890355, -0.92465, -0.876321, -1.06289, -1.22872, -1.56784, -1.43654, -2.03354, -1.64627, -1.77635, -1.73184, -2.05578, -2.0662, -2.08093, -1.81655, -2.21304, -2.30418, -2.07596, -2.55525, -2.45559, -2.63256, -2.38591, -2.57009
0.08, 0.0319375, -0.887821, -0.893331, -1.15704, -0.540045, -0.172942, 0.315173, -0.653388, -0.8509, -0.491181, -1.02307, -1.03194, -1.34799, -1.12607, -1.40237, -1.5699, -1.37832, -1.49624, -1.9751, -1.54682, -1.34145, -1.52005, -1.58872, -1.66253, -1.55998, -1.80892, -2.03818, -2.08909, -2.532, -2.23119, -2.19334
0.1, 0.0319375, 0.664916, 0.0793679, 0.119567, -0.250101, -0.0679913, -0.122331, -0.379304, -0.333515, -0.536848, -1.09499, -0.448852, -0.843418, -1.00867, -1.2163, -1.38007, -1.23179, -1.04519, -1.29751, -1.36734, -1.54493, -1.6757, -1.39003, -1.51278, -2.26865, -1.6607, -1.38778, -1.94083, -2.17054, -2.19156, -2.25368
0.12, 0.0319375, -0.139445, -0.431804, -0.202139, -0.450693, -0.174042, -0.346228, -0.646478, -0.880445, -0.201426, -0.490246, -0.793842, -0.404413, -0.594873, -1.53963, -1.36434, -1.15312, -1.55922, -1.52706, -1.38005, -1.35868, -1.74718, -1.53065, -1.5256, -1.9625, -1.72357, -1.80968, -1.85272, -2.21695, -2.22511, -2.12044
0.14, 0.0319375, -0.531654, -0.837602, 0.212257, 0.0692424, -0.377999, 0.00769094, -0.580912, -0.547185, -0.397246, -1.00554, -0.884297, -0.533255, -0.759322, -1.28322, -1.91058, -1.07079, -1.1091, -1.39312, -1.49763, -1.54604, -1.5519, -1.66888, -1.65436, -1.57902, -1.32234, -1.76708, -1.96367, -2.08702, -1.9914, -1.93218
0.16, 0.0319375, 0.580878, -0.0173662, -0.288749, -0.674036, -0.183795, -0.237451, -0.109884, -0.52601, -0.53346, -0.490168, -0.980913, -1.4303, -1.83888, -1.3061, -1.21451, -0.860625, -1.5035, -1.80638, -1.72606, -1.47176, -1.48502, -1.40816, -1.22716, -1.22023, -1.27315, -1.76801, -1.89504, -1.96194, -1.99888, -2.08853
0.18, 0.0319375, -0.107285, -0.0790584, -0.0537405, -0.274178, 0.203912, 0.461806, -0.236134, 0.0583426, -0.320847, -0.37947, -0.373164, -0.796182, -1.10286, -0.865072, -1.00251, -0.821251, -1.15186, -1.33822, -1.38802, -1.40753, -1.65755, -1.46496, -1.49938, -1.298, -1.31332, -1.41854, -1.35104, -1.54219, -1.02113, -0.955106
