# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.0359, -0.980654, -1.28469, -0.630616, -0.998515, -0.905276, -0.786975, -0.922628, -0.37718, -0.221822, -0.852568, -1.13194, -1.5216, -1.57103, -1.95631, -2.32632, -2.23038, -1.80416, -1.3916, -1.60178, -1.4487, -1.45983, -1.17818, -1.37213, -1.26633, -1.59142, -1.76232, -1.78885, -2.25447, -2.45201
0.02, 0.0319375, -0.941467, -1.1355, -0.592302, -0.254936, -0.356387, -0.80426, -0.925704, -0.464487, -0.216658, -0.484875, -0.802098, -1.15086, -1.11508, -1.32863, -1.17839, -1.22078, -1.92116, -1.61515, -1.34399, -1.58835, -1.13974, -1.36988, -1.08164, -1.40681, -1.3598, -1.39146, -1.6155, -1.83769, -2.20693, -2.37652
0.04, 0.0319375, -0.447237, -0.705089, -0.638523, -0.394484, 0.201982, -0.637476, -0.877117, -0.776799, -0.596313, -0.349718, -0.945053, -1.11741, -0.753461, -0.892036, -1.02587, -0.840368, -1.0739, -1.15958, -0.97238, -0.391372, -0.0469167, -0.301124, -0.423684, -0.792516, -1.27887, -1.25466, -1.44167, -1.69854, -1.83789, -1.99571
0.06, 0.0319375, -0.455915, -0.426508, -0.670703, -1.03976, -0.48173, -0.651083, -0.381094, -0.743292, -0.710976, -0.357701, -0.908273, -0.931846, -1.28471, -1.94376, -1.80421, -1.42625, -1.96694, -1.89955, -1.76888, -1.40418, -1.3084, -1.23745, -1.23049, -1.22606, -1.42409, -1.36027, -1.58639, -1.67388, -2.04, -2.27722
0.08, 0.0319375, -0.795605, -0.514835, -2.1697, -0.518864, -0.199316, -0.353314, -0.300438, 0.0458797, -0.570325, -1.27026, -1.19572, -0.755961, -1.18242, -1.41559, -1.69992, -1.74793, -2.19473, -2.09956, -1.28004, -1.34195, -1.62486, -1.40762, -1.45616, -1.76731, -1.64849, -1.46877, -1.54779, -1.69874, -1.86397, -2.08342
0.1, 0.0319375, -0.399258, -0.304993, -0.357529, -0.899948, -0.303658, -1.60106, -0.206886, -0.0160357, -0.107328, -0.560251, -1.1744, -1.11854, -1.33301, -1.24665, -1.88894, -1.87632, -2.40017, -2.41092, -1.45286, -1.47751, -1.34307, -1.09892, -1.3656, -1.40206, -1.30761, -1.13935, -1.27496, -1.68214, -1.93043, -1.93942
0.12, 0.0319375, -0.425392, -0.755565, -1.21589, -0.398409, -0.0468946, -0.713533, -0.480862, -0.377948, 0.0170064, 0.020587, -0.642155, -0.628782, -1.00197, -0.886312, -1.53501, -1.33256, -2.15637, -1.62217, -1.21733, -1.10778, -0.937701, -1.59295, -1.48579, -0.985557, -0.851272, -1.2068, -1.45899, -1.37314, -1.93948, -1.93522
0.14, 0.0319375, -1.13121, -0.608441, -0.364325, -0.808864, -0.349527, -0.151278, -0.514978, -0.624242, -0.150832, 0.084588, -0.633388, -0.657526, -0.872435, -1.27384, -1.58549, -1.53192, -1.74429, -1.46539, -0.770676, -0.625661, -0.753686, -0.743816, -0.968188, -0.765138, -0.632998, -1.2141, -1.4294, -1.65223, -1.89869, -1.99905
0.16, 0.0319375, -0.129064, -0.309147, -0.820955, -1.21685, -0.847979, -0.414649, -0.0885781, 0.38474, 0.0854609, -0.241243, -0.444719, -0.700005, -0.581224, -0.832652, -1.67819, -2.26778, -1.73063, -1.24198, -1.09947, -1.42892, -1.38832, -1.26358, -0.771614, -0.7113, -0.98199, -0.922503, -1.16766, -1.21303, -1.71728, -1.77584
0.18, 0.0319375, -0.19444, -0.628039, -0.58229, -0.337619, 0.0237863, -0.0689465, -0.650505, -0.361676, -0.080087, -0.165283, -0.20732, -0.795387, -0.842469, -1.29412, -1.22077, -1.73518, -1.59466, -1.82602, -0.958651, -1.60293, -1.14499, -0.89983, -1.085, -1.22686, -0.762003, -1.0207, -1.25601, -1.38939, -1.83793, -1.30038
0.2, 0.0319375, -0.94795, -0.449497, -0.533224, -0.0704192, -0.333038, -0.779403, -0.297255, -0.328847, 0.130513, 0.365615, -0.224876, -0.682606, -1.29144, -1.29981, -1.31278, -1.10343, -1.47678, -1.60798, -1.40177, -1.39333, -0.948268, -0.714555, -1.30212, -0.772676, -0.854372, -1.09191, -0.888641, -1.184, -1.69462, -1.54015
0.22, 0.0319375, -1.61001, -0.455163, -0.527973, -0.364446, 0.175909, -0.238356, -0.960403, -0.577749, 0.119625, -0.32913, -0.76314, -1.10842, -1.03156, -1.00896, -1.59007, -1.40603, -1.80137, -1.39017, -1.05124, -1.17014, -1.28548, -0.729968, -1.02546, -0.742198, -0.791574, -0.852824, -0.996759, -0.868931, -1.74689, -1.50508
0.24, 0.0319375, -0.517046, -0.339498, -0.58779, -0.227771, 0.117017, 0.00373749, -0.386927, -0.631703, -0.279825, 0.0804599, -0.254518, -1.23608, -1.12139, -0.85021, -0.900158, -1.21227, -1.34297, -1.29034, -1.2145, -1.12436, -0.895219, -0.997679, -0.894916, -0.958813, -0.517416, -0.735357, -1.0547, -0.975406, -1.50718, -1.65718
