# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.08183, -1.75624, -2.84513, -3.12918, -2.71319, -2.67493, -2.49792, -3.29026, -2.30738, -2.99592, -3.06477, -2.47046, -2.60464, -3.59814, -3.42774, -3.60002, -3.89269, -3.76619, -4.10557, -4.24895, -4.63605, -5.00312, -4.94259, -5.08347, -5.32635, -5.24697, -5.32848, -5.64668, -5.46947, -5.41151
0.02, 0.0319375, -2.23452, -1.972, -2.87817, -3.04962, -2.92031, -2.84055, -2.96961, -2.99765, -2.26904, -2.84671, -2.4643, -2.38272, -3.06721, -2.7415, -3.07857, -3.46696, -3.41979, -3.84653, -4.41863, -4.29541, -4.61728, -4.74826, -4.77156, -5.04223, -4.90358, -5.22245, -5.25359, -5.11241, -5.14601, -5.05266
0.04, 0.0319375, -2.47706, -1.96338, -2.46225, -3.37501, -2.4621, -2.45303, -2.9162, -3.04534, -2.57416, -2.25939, -2.4426, -2.57177, -2.65799, -2.9632, -3.28805, -3.28235, -4.1251, -3.94673, -3.92669, -4.32176, -4.34626, -4.64432, -4.68635, -4.94354, -4.87035, -5.27341, -5.22434, -5.5505, -5.30033, -5.31305
0.06, 0.0319375, -2.1749, -2.14386, -2.51343, -2.46519, -2.3405, -2.45057, -3.18368, -2.46516, -1.98427, -2.48548, -2.61826, -2.13453, -2.33541, -2.9781, -3.31308, -3.72045, -3.90965, -4.55792, -4.25117, -3.93841, -4.24014, -4.56683, -5.04258, -4.84506, -5.08302, -4.96572, -5.1325, -5.07827, -4.964, -5.02886
0.08, 0.0319375, -2.35781, -2.60169, -2.55812, -3.13515, -2.90762, -2.5137, -2.87437, -2.69345, -2.02699, -2.44285, -2.54219, -2.88862, -2.50642, -2.63635, -3.26708, -3.4189, -4.04146, -3.89803, -4.07539, -4.57436, -4.28904, -4.68202, -5.15322, -5.54356, -5.59655, -5.25198, -4.97873, -5.19594, -5.14421, -5.37222
0.1, 0.0319375, -2.38854, -2.69211, -2.3658, -2.64769, -2.31057, -2.77528, -2.59072, -2.0339, -2.88835, -2.5763, -2.72606, -2.37646, -2.53602, -2.99834, -3.66321, -3.82947, -3.75838, -3.88378, -4.12739, -4.46945, -4.48487, -4.55982, -4.80668, -5.02695, -4.94112, -5.13271, -5.24203, -5.03282, -5.33, -5.18723
0.12, 0.0319375, -2.22816, -2.40161, -2.33681, -2.80289, -2.46237, -2.79923, -3.06348, -2.62932, -2.6195, -2.74179, -2.81661, -2.57602, -2.75864, -3.15635, -3.38417, -3.79873, -3.82806, -3.81357, -3.95996, -4.49749, -4.53747, -4.66456, -4.82557, -4.88704, -4.85012, -5.05694, -5.18076, -5.10941, -5.07307, -5.12605
0.14, 0.0319375, -2.84735, -2.30228, -2.56725, -2.55051, -2.68522, -2.49622, -2.32687, -3.0345, -2.49544, -2.10802, -2.57193, -2.2495, -2.01254, -2.63178, -3.15469, -3.68892, -4.09981, -3.87079, -4.337, -4.13789, -4.52445, -4.69171, -4.95202, -4.9868, -4.91757, -5.08177, -5.14424, -5.07324, -5.37363, -5.17358
0.16, 0.0319375, -3.01449, -2.56823, -2.42771, -3.87407, -2.66905, -2.58073, -2.51099, -2.57044, -2.41543, -2.44504, -2.63613, -3.06135, -2.85544, -3.33299, -3.04368, -3.78531, -3.39307, -3.46501, -3.88128, -4.02347, -4.39305, -4.87846, -4.78916, -5.10097, -4.83725, -5.02183, -5.24751, -5.15898, -5.01429, -5.25239
0.18, 0.0319375, -2.82752, -2.57155, -2.27062, -2.30792, -2.75534, -3.69133, -2.47597, -2.6215, -2.57728, -2.33712, -2.3422, -2.52234, -2.78501, -3.48581, -3.56035, -3.49452, -3.61157, -3.85336, -3.79021, -4.29648, -4.86806, -4.87772, -4.44223, -4.43063, -4.99128, -4.97498, -5.02968, -5.19417, -4.92291, -4.9456
0.2, 0.0319375, -3.42996, -2.36131, -2.00332, -2.83521, -1.95548, -2.43443, -3.43412, -2.37926, -1.96043, -2.10065, -2.41102, -2.40348, -3.2787, -2.89521, -3.30189, -3.87038, -3.8425, -3.83817, -4.13432, -4.20923, -4.47412, -5.00599, -4.97475, -4.78797, -4.82187, -4.86862, -4.83157, -4.93961, -5.1728, -5.13525
0.22, 0.0319375, -2.03792, -2.03892, -2.09558, -2.39992, -2.6281, -2.81821, -2.93979, -3.24881, -2.55104, -2.49826, -2.71491, -3.09364, -2.53997, -2.93456, -3.21678, -3.34937, -3.50279, -4.07487, -3.90533, -4.08943, -4.58449, -4.60737, -4.35842, -4.7693, -4.9903, -4.8591, -5.22551, -5.04612, -4.88895, -5.15186
0.24, 0.0319375, -1.56303, -2.48472, -2.25744, -2.61964, -2.72372, -3.35385, -2.82403, -2.61545, -2.55743, -2.60593, -2.46911, -2.72594, -2.68104, -3.2249, -3.56467, -3.71631, -3.92244, -3.79652, -4.13171, -4.26931, -4.62317, -4.68055, -4.96678, -4.79428, -4.839, -5.02171, -5.17508, -5.32298, -5.12665, -5.05826
0.26, 0.0319375, -2.0657, -2.5533, -3.18035, -2.26197, -2.51602, -2.47384, -3.05288, -2.18752, -1.89833, -2.05736, -3.07272, -2.86532, -2.51273, -2.93079, -2.77751, -3.57608, -3.21301, -3.57562, -4.05612, -4.43558, -4.42709, -4.7173, -4.78789, -4.71997, -4.61669, -4.76467, -4.77757, -5.21929, -5.3127, -5.15442
0.28, 0.0319375, -2.37966, -2.09524, -2.30101, -2.41976, -2.68351, -2.74575, -3.28156, -2.44603, -2.88915, -2.43569, -2.52034, -2.46527, -2.50493, -2.64892, -3.48197, -3.21559, -3.66683, -3.8108, -3.75436, -4.7317, -4.70538, -4.68638, -4.75753, -4.63025, -4.8317, -4.72418, -5.07987, -5.02399, -5.08469, -5.38431
0.3, 0.0319375, -1.73502, -2.04247, -2.30581, -2.55487, -3.06032, -2.44132, -2.16978, -2.49274, -2.48686, -2.37095, -3.23006, -3.25481, -2.74619, -2.99211, -3.37099, -3.84079, -3.65418, -4.53977, -4.04637, -4.08903, -4.25378, -4.76434, -4.88434, -4.72093, -4.83889, -4.80662, -5.13171, -4.98156, -5.0233, -5.39661
0.32, 0.0319375, -1.68618, -1.69565, -2.47205, -2.75759, -2.6918, -2.11904, -3.00421, -2.27873, -2.16479, -2.1299, -2.56667, -2.63584, -2.60955, -2.94131, -3.11932, -3.64113, -3.95746, -3.36739, -3.51329, -4.37095, -4.6658, -4.43912, -4.5268, -4.82953, -4.84358, -4.69407, -4.99428, -5.15697, -5.07406, -4.91265
0.34, 0.0319375, -2.28294, -2.08531, -2.02657, -2.47634, -2.97871, -1.93007, -2.83196, -2.46746, -2.69225, -2.90059, -2.67109, -2.98208, -2.92698, -3.33745, -3.1306, -3.83436, -3.7435, -3.56659, -3.89305, -4.13587, -4.37782, -4.38284, -4.4235, -4.5543, -4.58999, -4.83831, -4.85121, -5.15049, -5.25744, -4.95141
0.36, 0.0319375, -1.98822, -3.22301, -2.91006, -3.09684, -2.716, -2.44828, -3.6832, -3.04396, -2.34461, -2.82714, -3.44993, -2.96919, -2.45798, -3.05042, -3.43977, -3.31384, -3.56017, -3.77588, -3.85053, -4.75414, -4.50482, -4.51708, -4.48769, -4.71909, -4.99216, -4.95234, -4.69821, -4.85109, -5.01434, -4.92025
0.38, 0.0319375, -1.6015, -1.68156, -2.22154, -3.55235, -2.80591, -2.30582, -2.31752, -2.22574, -2.23764, -2.25634, -2.10033, -2.64194, -3.02941, -3.49703, -3.11157, -3.36385, -4.18849, -3.86434, -3.97695, -4.27961, -4.14423, -4.65532, -4.36627, -4.66193, -4.52864, -4.44157, -4.7367, -5.0527, -5.33058, -5.05733
0.4, 0.0319375, -2.32755, -2.05648, -2.34589, -2.34193, -3.19596, -2.74768, -2.20106, -2.54318, -2.0354, -2.57391, -2.32563, -2.76205, -2.60342, -3.46245, -3.75317, -3.83844, -3.76465, -4.14416, -3.80477, -4.05722, -4.37414, -4.2136, -4.52367, -4.69108, -4.35267, -4.43499, -4.7729, -5.12912, -5.04306, -5.07917
0.42, 0.0319375, -1.59225, -2.09377, -2.19498, -2.34144, -2.83627, -2.09267, -2.39532, -2.82712, -2.8211, -2.70186, -2.76023, -2.46599, -2.13591, -2.84884, -3.27825, -3.73852, -4.68649, -4.47326, -4.10219, -4.45526, -4.47474, -4.53823, -4.65684, -4.52208, -4.24103, -4.58135, -4.65331, -5.1125, -5.44796, -5.25922
0.44, 0.0319375, -2.41926, -1.8247, -2.38947, -2.21765, -2.22818, -2.40305, -2.84143, -2.57807, -2.4496, -1.91023, -3.11681, -2.81983, -2.7778, -2.76468, -3.16157, -3.50138, -3.67793, -4.30592, -4.43285, -4.78099, -4.1791, -4.3564, -4.44213, -4.57481, -4.37815, -4.65769, -5.04633, -4.96816, -5.08654, -5.1075
0.46, 0.0319375, -2.81871, -3.43635, -3.30357, -2.45899, -2.43559, -2.17, -2.75013, -2.47244, -2.48908, -2.62921, -3.07084, -3.04936, -2.98147, -3.34152, -3.46048, -3.43536, -3.70145, -3.84168, -3.76353, -4.47367, -4.27079, -4.63826, -4.71016, -4.52915, -4.42655, -4.72329, -4.95812, -5.08822, -5.25423, -5.18789
0.48, 0.0319375, -2.72095, -3.11161, -2.80547, -2.49326, -2.83192, -2.52189, -2.62121, -2.76207, -2.91397, -2.40732, -2.62187, -2.50596, -2.9425, -3.1294, -3.36415, -3.45092, -3.65342, -3.83023, -3.77762, -4.33433, -4.29524, -4.0833, -4.21698, -5.14428, -4.44379, -4.68584, -4.96101, -5.08409, -5.13435, -5.26065
0.5, 0.0319375, -2.42981, -1.9128, -2.10327, -2.66703, -2.54178, -2.99147, -2.7901, -2.37684, -2.3466, -2.03749, -2.51639, -2.59123, -3.09364, -3.103, -4.01452, -3.84213, -3.96798, -3.76299, -4.01802, -4.1866, -4.17513, -4.35598, -4.59488, -4.75566, -4.78491, -4.91764, -5.11261, -4.87556, -4.98838, -4.68074
0.52, 0.0319375, -1.87085, -1.66152, -2.48295, -3.74675, -3.10077, -2.74959, -3.29524, -2.76004, -2.24958, -2.60484, -2.83619, -2.81515, -2.44577, -2.94944, -3.14296, -3.56423, -4.1079, -3.99424, -3.68089, -4.40503, -4.1263, -4.84132, -4.33215, -4.49982, -4.81749, -4.85987, -5.04428, -5.31213, -5.09938, -4.99898
0.54, 0.0319375, -1.89731, -2.50166, -2.40508, -3.02878, -2.884, -3.06157, -3.08544, -2.70474, -2.62266, -2.46107, -2.97025, -2.90474, -2.92762, -3.13651, -3.29856, -3.44033, -3.5595, -3.93145, -4.07798, -4.06558, -4.15355, -4.46482, -4.36612, -4.54249, -4.38452, -4.74506, -5.09325, -5.06584, -5.19126, -4.91866
0.56, 0.0319375, -2.19746, -2.0373, -2.01596, -3.26095, -2.71837, -2.16976, -3.05796, -2.86959, -1.96375, -2.11154, -2.54336, -3.11414, -2.88009, -2.57814, -3.4514, -4.14855, -4.37415, -4.09688, -3.73644, -4.13563, -4.28622, -4.39225, -4.16923, -4.3936, -4.35496, -4.92746, -5.06704, -5.12868, -5.00577, -4.94963
0.58, 0.0319375, 0.566505, 0.859937, 0.980885, 1.05591, 1.06682, 1.12571, 1.07559, 0.630841, 0.794344, 1.07452, 0.865362, 0.643163, 0.0364926, -0.57642, -0.333206, -0.312849, 0.0661896, 0.444186, 0.440723, 0.364597, -0.343415, -0.553084, -0.1969, -0.391125, -0.517111, -0.809731, -1.27892, -1.50078, -2.82817, -2.638
0.6, 0.0319375, -0.15543, 0.111988, 0.699056, 0.575333, 1.03788, 0.494669, 0.549573, 1.05958, 0.7894, 0.505217, -0.557017, -0.461737, -0.151755, -0.419077, -1.22713, -0.721409, -0.896182, -0.239108, -0.474007, -0.635871, -1.45462, -2.09838, -1.23675, -1.12865, -1.08735, -1.76259, -1.79301, -1.77512, -2.70233, -2.72992
0.62, 0.0319375, -0.446418, -0.155818, -0.0766855, -0.132164, -0.603841, -0.42597, -0.160723, -0.0422989, -0.109756, -0.382116, -0.440564, -0.497014, -0.577418, -0.975768, -1.23002, -1.41608, -1.19503, -0.641392, -0.709924, -1.1554, -1.59476, -1.60348, -1.13608, -1.40489, -1.13035, -1.88304, -1.92442, -2.19181, -3.16199, -3.125
0.64, 0.0319375, -1.65094, -1.31291, -1.00503, -0.176656, -0.386484, -0.82464, -1.45241, -0.565598, 0.0566283, -0.791801, -0.642676, -0.449208, -1.28104, -0.753058, -1.29622, -1.12465, -0.804932, -0.567716, -0.428969, -0.51175, -1.18929, -1.77277, -1.01996, -1.5669, -1.86404, -1.79897, -2.28624, -2.43741, -3.21197, -2.96145
0.66, 0.0319375, -0.415509, -0.609638, -1.12308, -0.804657, -0.511568, -0.32713, -1.11964, -0.668571, -0.0651598, -0.52633, -0.647348, -0.996486, -0.974214, -1.12904, -2.031, -1.70929, -1.45122, -0.874859, -0.949652, -1.5402, -2.16322, -1.96456, -1.67147, -1.76671, -1.91746, -2.5227, -2.17973, -2.66443, -3.39758, -3.26803
0.68, 0.0319375, -0.886068, -0.909151, -0.755716, -1.03297, -0.710076, -1.69571, -0.885436, -1.43699, -0.998864, -1.55065, -1.45681, -1.07853, -1.25216, -1.64009, -2.0154, -1.98879, -1.75227, -1.37587, -1.18089, -1.26304, -1.97804, -2.02175, -1.81501, -1.98666, -1.88486, -2.28128, -2.85321, -3.29687, -4.05172, -3.68371
0.7, 0.0319375, -1.3062, -1.53379, -1.86879, -1.87103, -0.853909, -1.6506, -1.96435, -1.49579, -1.66236, -1.15444, -1.28773, -1.83511, -1.46847, -1.83079, -2.27325, -1.92478, -1.64384, -1.59404, -1.64228, -1.70703, -2.10618, -2.53307, -2.14956, -2.2381, -2.46655, -2.64305, -2.7484, -3.11686, -3.92297, -3.74437
0.72, 0.0319375, -1.90017, -1.19543, -2.0078, -1.7317, -1.21568, -1.38637, -1.67781, -1.7635, -1.01259, -1.78651, -2.17008, -2.06596, -2.44058, -2.14182, -2.50709, -2.60566, -2.36639, -2.21281, -1.97049, -2.07485, -2.31199, -2.62812, -1.96504, -2.46528, -2.67122, -2.78601, -3.05441, -3.13868, -3.97612, -4.35739
0.74, 0.0319375, -1.62809, -1.34364, -1.75608, -2.14761, -1.8831, -1.56067, -1.41845, -1.47293, -0.988208, -1.55369, -2.05222, -1.60734, -2.19877, -2.32796, -2.5253, -2.5463, -2.39027, -1.94544, -2.01059, -2.0648, -2.59303, -3.01728, -2.99242, -3.22555, -2.904, -2.87324, -3.37879, -3.89144, -4.24971, -4.32373
0.76, 0.0319375, -1.58767, -1.66943, -2.10359, -1.77553, -1.74493, -1.89886, -2.36879, -1.70681, -1.65998, -1.19997, -2.32717, -2.54665, -1.69636, -2.15176, -2.3751, -2.73152, -2.4973, -2.23618, -2.09703, -2.02926, -2.61083, -2.75989, -2.51607, -2.85057, -2.7759, -3.40585, -3.34169, -3.68891, -4.38473, -4.34544
0.78, 0.0319375, -1.95157, -2.54984, -2.5753, -2.13617, -2.08554, -2.0112, -2.01501, -2.02234, -2.3758, -1.75312, -2.007, -1.54289, -1.93366, -2.6703, -2.64457, -2.52306, -2.54926, -2.5468, -2.15426, -2.46348, -2.93192, -3.0939, -3.15343, -3.20497, -2.96783, -3.25854, -3.75373, -3.86491, -4.69528, -4.38119
0.8, 0.0319375, -2.15009, -2.15818, -2.05408, -2.27782, -2.91858, -2.62876, -2.78884, -1.89463, -1.74155, -2.03147, -1.91625, -2.49469, -2.71899, -2.27388, -2.59213, -2.77998, -2.55424, -2.43411, -2.38621, -2.41186, -3.03365, -2.94364, -2.8254, -2.90639, -3.32503, -3.50538, -4.10949, -4.00375, -4.5793, -4.58924
0.82, 0.0319375, -1.68676, -1.25828, -1.29924, -1.9344, -1.95478, -3.02506, -2.69528, -2.05346, -2.50247, -2.04739, -2.41649, -2.71528, -2.76157, -2.32728, -2.78945, -2.6382, -2.66209, -2.78358, -2.9745, -3.22943, -3.12824, -3.97216, -3.69547, -3.56185, -3.36489, -3.62419, -3.85259, -3.99693, -4.94499, -4.69363
0.84, 0.0319375, -3.17966, -2.088, -2.82416, -2.9653, -2.14787, -2.28857, -2.53373, -1.724, -1.96522, -2.16714, -2.41803, -1.90231, -2.33136, -2.67588, -2.74371, -2.62035, -2.74872, -3.01137, -2.84117, -2.86382, -3.19037, -3.54594, -3.3351, -3.76072, -3.53218, -3.89269, -4.00761, -4.39745, -5.1112, -4.82187
0.86, 0.0319375, -2.42307, -2.61516, -3.05775, -2.79603, -2.61456, -2.53091, -1.86169, -1.96611, -1.96452, -2.06458, -2.43394, -2.41943, -2.54043, -2.53994, -2.57985, -2.64476, -2.81137, -2.73324, -2.615, -2.76183, -3.49755, -3.68309, -3.45982, -4.00834, -3.64393, -3.71516, -4.16298, -4.42683, -4.77359, -4.8559
0.88, 0.0319375, -2.50716, -2.0086, -1.73169, -1.99011, -1.79886, -2.49837, -2.55603, -2.42845, -1.99733, -2.11437, -2.61634, -3.03075, -2.4923, -2.8501, -3.11342, -2.83206, -2.68094, -2.90533, -2.83964, -3.19237, -3.21576, -3.50994, -3.75609, -3.71236, -3.6361, -3.97846, -4.13694, -4.50931, -5.26663, -4.80048
0.9, 0.0319375, -3.07742, -2.2977, -2.38036, -2.24793, -1.89603, -2.32785, -2.06342, -2.1542, -2.63458, -2.48867, -2.65118, -3.0218, -2.45047, -2.83146, -2.80735, -2.68168, -2.92558, -3.24613, -3.17224, -3.8782, -3.80192, -3.88422, -3.72078, -3.89128, -3.8709, -4.32478, -4.71555, -5.02385, -5.23396, -5.43687
