# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -6.82228, -6.63174, -7.42524, -6.62721, -6.93595, -6.78434, -7.15884, -7.08535, -7.20847, -7.25606, -7.12884, -7.34722, -7.25832, -6.56331, -6.81372, -6.84946, -7.04824, -6.55103, -6.3969, -6.27492, -6.54425, -6.11599, -6.08317, -6.39213, -6.27423, -5.78074, -5.85848, -5.68576, -5.96413, -5.65766
0.02, 0.0319375, -5.80979, -6.54808, -7.04901, -5.77457, -5.60071, -6.99307, -6.96137, -7.19976, -6.78064, -6.96473, -6.71016, -6.51727, -6.82508, -6.85556, -6.6414, -6.38285, -7.21442, -6.84279, -6.26231, -6.22851, -6.44893, -6.20299, -5.89335, -6.22282, -6.07515, -5.98553, -6.12862, -5.79375, -5.7182, -5.93804
0.04, 0.0319375, -6.72084, -5.62818, -6.20663, -5.76433, -5.17458, -6.68951, -6.49979, -6.37791, -5.98533, -5.86379, -6.79192, -6.22576, -6.42888, -6.15988, -5.90641, -6.14032, -6.08815, -6.07475, -6.2134, -6.69796, -6.24759, -6.28825, -6.07287, -6.45848, -6.24223, -6.37896, -5.90374, -6.00262, -5.74094, -5.72461
0.06, 0.0319375, -5.68105, -5.72157, -5.50293, -5.08475, -5.2374, -6.04319, -6.02984, -6.24035, -6.21129, -6.63103, -6.8175, -5.85863, -6.3003, -5.94597, -5.93071, -5.64974, -6.11322, -6.49956, -6.41817, -6.28402, -6.0142, -6.02095, -5.78721, -6.18033, -6.23162, -6.28761, -5.92958, -5.76356, -5.67633, -5.85916
0.08, 0.0319375, -4.6911, -5.11427, -5.55885, -5.30079, -5.37087, -5.17414, -5.64989, -6.05452, -5.70475, -6.12827, -6.0029, -5.63594, -5.76006, -5.75522, -5.72874, -5.91592, -6.06848, -6.35083, -6.42123, -7.07163, -6.49171, -5.99518, -5.9455, -6.00468, -5.88093, -6.47935, -6.19281, -5.77026, -5.81302, -5.52279
0.1, 0.0319375, -5.42092, -5.26294, -5.71929, -5.73453, -5.62684, -5.52552, -6.02049, -5.68549, -5.54223, -6.26035, -6.20412, -5.61244, -5.32097, -5.66472, -5.60224, -5.68601, -5.91003, -6.05939, -6.19301, -5.96087, -5.65152, -5.89897, -5.77046, -5.70886, -5.6477, -6.08798, -5.82181, -5.65686, -5.67748, -5.55997
0.12, 0.0319375, -4.91348, -6.31771, -6.71319, -5.57027, -5.29412, -5.24003, -5.79764, -5.56545, -4.87538, -5.09719, -6.20229, -5.57495, -5.20214, -5.3598, -5.49951, -5.37092, -5.41942, -5.2115, -5.58769, -6.03536, -5.90042, -5.80233, -6.20869, -6.07004, -5.56174, -5.77299, -5.56801, -5.62881, -5.64685, -5.56862
0.14, 0.0319375, -4.56187, -5.58883, -6.1127, -4.62545, -4.47991, -5.16491, -5.40921, -5.25141, -6.11369, -5.99451, -5.976, -5.30948, -6.12447, -5.44593, -5.72007, -5.28615, -5.52501, -5.48345, -5.62795, -5.85259, -5.80368, -5.74572, -5.65554, -6.01889, -6.06973, -5.55278, -5.85004, -5.6752, -5.67809, -5.33774
0.16, 0.0319375, -4.38164, -5.4184, -6.25919, -5.15425, -5.39112, -5.43821, -5.47069, -5.69591, -5.21392, -5.03201, -5.3528, -4.90313, -5.39827, -5.07371, -5.18415, -5.28731, -5.46239, -5.38668, -5.44157, -5.72822, -5.82812, -6.00554, -5.77956, -5.74818, -5.83458, -5.9592, -6.02045, -5.80562, -5.80603, -5.2881
0.18, 0.0319375, -4.79897, -4.43693, -4.65182, -4.07568, -4.79273, -4.91365, -4.79878, -5.03048, -5.03782, -5.51168, -5.61775, -5.83644, -5.43797, -4.97695, -5.42509, -4.9058, -5.55588, -5.58922, -5.37633, -5.74017, -5.81055, -5.65196, -5.5978, -5.33291, -5.48102, -5.67274, -5.74243, -5.78942, -5.60754, -5.45005
0.2, 0.0319375, -4.4686, -4.76625, -4.98281, -4.32582, -4.1598, -4.65292, -5.09747, -5.71828, -5.57071, -5.56745, -5.0186, -4.94819, -5.22715, -5.13428, -4.55363, -4.85915, -5.19859, -5.39311, -5.92359, -5.67044, -5.46362, -5.4844, -5.59389, -5.65507, -5.48491, -5.82708, -5.86689, -5.7027, -5.57132, -5.26821
0.22, 0.0319375, -4.22785, -4.78311, -5.14751, -5.04082, -3.89102, -4.46467, -4.61451, -4.95338, -4.82814, -5.37815, -5.65134, -5.7566, -5.02748, -4.59663, -4.65813, -5.15965, -5.17927, -5.23674, -5.37002, -5.49631, -5.44239, -5.83639, -5.33467, -5.20968, -5.68799, -5.59644, -5.35076, -5.58097, -5.44745, -5.28883
0.24, 0.0319375, -3.85771, -4.74823, -4.60168, -4.97164, -3.992, -4.34399, -4.46749, -4.81326, -4.93252, -5.03898, -5.64741, -5.49439, -5.38974, -4.85357, -5.03561, -4.67438, -4.84214, -4.77467, -5.16719, -5.18097, -5.025, -5.39465, -5.64223, -5.43295, -5.44214, -5.53426, -5.56899, -5.58954, -5.65063, -5.3012
