# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.15113, -6.88564, -6.76966, -6.87106, -6.26961, -5.65506, -5.8498, -6.15527, -6.35894, -6.27312, -6.4976, -6.83132, -6.35562, -6.04255, -6.58784, -6.45891, -6.38693, -6.34234, -6.43334, -6.31168, -5.4567, -5.69067, -5.90999, -6.1292, -6.33066, -6.18695, -5.91203, -6.00175, -6.00107, -5.63681
0.02, 0.0319375, -5.3213, -5.57469, -5.50002, -5.28927, -4.7968, -4.55864, -5.28886, -4.9893, -6.05086, -5.89723, -6.1591, -5.13956, -5.16037, -5.01133, -5.70823, -6.11857, -5.65356, -5.72618, -5.24979, -5.34557, -5.0254, -5.28524, -5.42381, -5.34621, -5.6365, -5.74102, -5.98986, -5.84377, -5.76308, -5.43188
0.04, 0.0319375, -5.76211, -5.62945, -5.91641, -5.50128, -5.37037, -5.38605, -5.3422, -4.96455, -5.34542, -4.79054, -4.88362, -5.54085, -5.39603, -4.94447, -5.5456, -5.39019, -5.69229, -5.88056, -5.39257, -5.13895, -4.80307, -4.61591, -5.1776, -5.65254, -6.02295, -6.01756, -5.86676, -5.83968, -5.65343, -5.50436
0.06, 0.0319375, -4.57633, -4.99755, -4.75267, -4.78779, -4.26528, -4.58245, -5.36708, -4.48635, -4.84757, -4.59028, -4.61153, -4.70083, -5.06925, -5.00478, -5.15896, -5.25629, -5.51854, -5.16945, -5.11343, -4.88482, -4.79345, -4.69608, -4.85408, -5.4438, -5.77957, -5.82672, -5.76285, -5.73446, -5.53039, -5.35172
0.08, 0.0319375, -4.69191, -3.90388, -4.56247, -5.29869, -4.13564, -4.23331, -5.05161, -4.36547, -4.38146, -4.76554, -4.38544, -4.5376, -4.71069, -4.71889, -5.07536, -5.09665, -4.97637, -4.67829, -4.66653, -4.88244, -4.83353, -4.86651, -5.1751, -5.33943, -5.43302, -5.66439, -5.47714, -5.32797, -5.53992, -5.42794
0.1, 0.0319375, -3.78512, -4.68373, -4.642, -4.90739, -4.2693, -4.12928, -4.08626, -3.45643, -4.15166, -4.53346, -3.63826, -4.27482, -4.42485, -4.52732, -4.58375, -4.62733, -4.49782, -4.20956, -4.55883, -4.93936, -4.59607, -4.18927, -4.80252, -5.18645, -5.34732, -5.40913, -5.66221, -5.70273, -5.51473, -5.5369
0.12, 0.0319375, -4.62383, -3.7133, -4.91, -4.90739, -4.1611, -4.677, -4.54942, -3.80011, -4.13265, -4.44496, -4.16708, -4.28914, -4.24208, -3.98551, -4.26415, -4.07719, -4.57193, -4.57829, -4.08074, -4.58654, -4.31042, -4.16891, -4.5817, -4.97781, -5.35458, -5.577, -5.51021, -5.49848, -5.21269, -5.12009
0.14, 0.0319375, -4.49397, -3.61805, -4.68659, -5.8529, -4.64497, -4.15623, -4.03103, -4.28471, -3.73886, -4.01179, -3.93205, -4.16865, -4.21028, -4.32942, -4.61673, -4.14221, -4.40389, -4.46387, -4.37938, -4.72497, -4.42252, -4.08298, -4.29766, -4.70773, -5.14576, -5.29638, -5.33987, -5.20405, -5.2096, -5.21721
0.16, 0.0319375, -3.93296, -3.56536, -3.7656, -4.09604, -4.3231, -4.06211, -3.85248, -3.9027, -4.2773, -4.42102, -3.90628, -3.84586, -4.60692, -4.06427, -3.61656, -4.03617, -4.16447, -3.9758, -4.22929, -4.1473, -4.31334, -4.65529, -4.89498, -4.81783, -5.18447, -5.16295, -4.99082, -5.3689, -5.14174, -5.23809
0.18, 0.0319375, -3.77292, -3.22812, -3.88561, -4.1006, -3.62666, -3.24154, -3.27079, -3.5301, -4.05856, -4.56944, -3.89709, -3.86618, -4.24185, -3.45432, -3.96676, -4.06757, -4.36014, -3.73852, -4.01933, -4.24493, -4.34073, -3.95611, -4.45901, -4.53928, -5.0077, -4.98538, -4.82995, -5.13638, -5.17005, -4.95933
