# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.0363416, 0.537436, 0.551771, -0.193945, -0.0841083, 0.135662, 0.446029, 0.968567, 0.56492, 0.371277, 0.169882, 0.620265, 0.328373, 0.296018, 0.325795, 0.224145, -0.108336, -0.031875, -0.101843, 0.136699, -0.146275, -0.541744, -0.842714, -0.879774, -0.704897, -0.887675, -1.22745, -1.43485, -1.74743, -2.29075
0.02, 0.0319375, -0.137623, 0.238469, -0.0779041, -0.496102, 0.0555608, -0.13589, 0.103316, 0.496179, 0.715519, 0.222773, 0.457762, 0.652426, 0.664371, -0.084174, 0.124044, 0.299265, 0.265251, 0.0288917, 0.100152, -0.248874, -0.209177, -0.666728, -0.954724, -0.938527, -0.879708, -1.13859, -0.984187, -1.32001, -1.81462, -2.5613
0.04, 0.0319375, -0.454459, 0.25054, -0.679714, -0.403683, -0.0569337, -0.285191, -0.0811653, -0.247058, 0.807261, 0.722281, 0.734364, 0.483353, 0.500712, 0.442791, 0.00903919, 0.165791, 0.248567, 0.228275, -0.00158238, -0.279585, -0.204443, -0.571421, -0.638629, -1.33842, -1.17591, -0.90845, -0.8492, -1.43384, -1.84382, -1.98038
0.06, 0.0319375, 0.136601, 0.130998, -0.54566, -0.617907, -0.500497, -0.577461, -0.196891, 0.36728, 0.487111, 0.713252, 0.506472, 0.321839, 0.236006, 0.0238899, 0.0806473, -0.676344, -0.526494, -0.0417514, -0.121402, -0.181249, 0.0264251, -0.448907, -0.771133, -1.01122, -1.12812, -1.10235, -1.15231, -1.44895, -1.8295, -2.32261
0.08, 0.0319375, 0.477752, -0.334956, -0.528773, 0.017292, -0.135844, 0.154202, 0.800809, 0.844573, 0.75834, 0.525419, 0.284452, 0.469026, 0.507932, 0.832487, 0.0849101, 0.397719, 0.23888, -0.372196, -0.394371, -0.18455, -0.671133, -0.422027, -0.4697, -0.611508, -0.722136, -1.15544, -1.03361, -1.39824, -1.46658, -2.26033
0.1, 0.0319375, 0.385163, 0.243853, 0.165529, -0.29376, -0.484221, -1.32197, -0.230971, 0.751819, 1.07808, 0.678038, 0.596243, 0.828122, 0.495639, 0.373951, 0.347273, 0.121042, 0.114603, 0.364155, 0.00882664, -0.119745, -0.00411366, -0.41144, -0.703872, -0.910414, -0.910239, -0.981767, -1.41682, -1.44293, -1.79731, -2.07488
0.12, 0.0319375, -0.866364, -0.323458, -0.0649768, -0.475489, -0.360242, 0.128395, -0.123703, -0.116938, 0.67882, 0.880161, 0.548117, 0.0812361, 0.208164, 0.428274, 0.280659, 0.425944, 0.301304, 0.0450716, -0.409834, -0.320624, -0.484002, -0.5544, -1.21389, -0.921518, -0.980653, -0.992606, -1.09154, -1.09347, -1.87205, -1.97404
0.14, 0.0319375, -0.839021, -0.26248, -0.136911, -0.630576, -0.215548, 0.222672, 0.11224, 0.147307, 0.348839, 0.731931, 0.596275, 0.3722, -0.108609, 0.821807, 0.526127, 0.561992, 0.444933, 0.0790418, -0.336774, -0.205278, -0.311727, -0.888595, -0.725643, -0.804644, -1.04189, -1.1804, -1.19975, -1.50929, -1.94327, -2.17039
0.16, 0.0319375, 0.455879, 0.183953, -0.677299, -0.253542, 0.386368, 0.481157, 0.680982, 0.49619, 0.139951, 0.240478, 0.319073, 0.152311, -0.0926443, 0.540255, 0.43772, 0.743307, 0.0260582, -0.363785, 0.184299, -0.310588, -0.636005, -0.338111, -0.821678, -0.920189, -1.13551, -1.54119, -1.1782, -1.50639, -1.70674, -2.06821
0.18, 0.0319375, 0.311022, 0.680158, 0.238335, -0.368321, 0.209985, 0.33559, 0.0316719, 0.54116, 0.448503, 0.562178, 0.586103, 0.161253, 0.505118, 0.531718, 0.222071, 0.175748, -0.0118877, 0.0636969, 0.240327, 0.0365137, -0.130699, -0.579301, -1.01861, -0.977762, -1.18357, -1.0061, -1.22565, -1.23177, -2.04508, -2.01228
0.2, 0.0319375, 0.11894, -0.186549, -0.256783, -0.954764, 0.23306, 0.151548, 0.050517, 0.717789, 0.822933, 0.68336, 0.308491, 0.498009, 0.115901, 0.136865, 0.412217, 0.380247, -0.34372, -0.431423, -0.229851, -0.316876, -0.761216, -0.883288, -0.837926, -0.842704, -1.0477, -1.1698, -1.27135, -1.39058, -1.79485, -2.07125
0.22, 0.0319375, 0.208929, 0.243766, -0.245539, -0.0973717, 0.210581, 0.130246, -0.691473, -0.206052, 0.655629, 0.567081, -0.17138, 0.19864, 0.318801, 0.669763, 0.405202, 0.274985, 0.39347, 0.15608, -0.242952, -0.451436, -0.611786, -0.825687, -0.91049, -0.81764, -0.95767, -1.11109, -1.28615, -1.44381, -1.66086, -1.68027
0.24, 0.0319375, 0.267627, 0.393456, 0.0793017, -0.0173703, 0.0417734, -0.312636, 0.313558, 0.0871154, 1.0678, 1.02427, 0.364188, 0.267188, 0.338928, 0.529983, 0.600158, 0.0148414, 0.229284, -0.0118932, -0.0265264, -0.310655, -0.658419, -0.701074, -0.577973, -0.622979, -0.575466, -0.646218, -0.706795, -1.19252, -1.58762, -1.8407
0.26, 0.0319375, -0.000896558, 0.299278, -0.586894, -0.291213, -0.122291, 0.204443, 0.0213917, 0.286803, 0.81933, 0.167435, 0.606971, 0.669789, 0.226769, 0.30293, 0.614802, -0.0797297, -0.0113723, -0.0601867, 0.00861263, -0.0854156, -0.78706, -1.14703, -1.05971, -0.864802, -1.09334, -0.927572, -1.25029, -1.50856, -1.68495, -1.88658
0.28, 0.0319375, 0.0741375, 0.809314, 0.00389175, -0.365469, -0.674732, -0.339272, -0.0910779, 0.648195, 0.441314, 0.517324, 0.35803, -0.051524, 0.267625, 0.505554, 0.340842, 0.24647, 0.43696, 0.244761, -0.0729536, -0.577292, -0.810294, -0.460682, -0.908267, -1.15212, -1.27529, -1.03097, -0.901706, -1.17397, -1.49693, -2.03327
0.3, 0.0319375, -0.0962669, -0.525609, -0.0840627, -0.882161, 0.430457, 0.0581542, 0.156237, 0.0396487, 0.236354, 0.0510193, -0.0916363, 0.187807, 0.687347, 0.806718, 0.0923224, 0.645758, 0.461407, -0.106382, -0.433956, -0.388246, -0.59533, -0.933237, -1.02214, -1.03177, -1.19763, -1.13084, -1.19219, -1.32115, -1.67701, -2.1272
0.32, 0.0319375, 0.41581, -0.301919, -0.843332, -0.124448, 0.18388, -0.0126901, -0.075881, 0.391358, 1.23939, 0.629825, -0.00685347, 0.100803, 0.0442791, 0.205106, 0.759438, -0.0934858, 0.0941103, -0.0953814, -0.591351, -0.373169, -0.518889, -0.747662, -0.82696, -1.04666, -1.23141, -0.989868, -1.27059, -1.3657, -1.55912, -2.03832
0.34, 0.0319375, -0.037958, 0.0308718, -0.105256, -0.109679, -0.204412, -0.756964, -1.12304, 0.53359, 0.887929, 0.16518, 0.518041, 0.495753, 0.185385, 0.44797, 0.320969, 0.554664, 0.282869, 0.151, 0.193029, -0.406623, -0.516716, -0.845162, -0.727794, -1.02619, -0.849413, -1.3012, -1.12663, -1.32004, -1.87046, -2.07519
0.36, 0.0319375, -0.943181, -0.117233, 0.005991, -0.211286, -0.492518, 0.153442, 0.145566, 0.447252, 0.701655, 0.378362, 0.615188, 0.212305, 0.341632, 0.116028, -0.200254, 0.406538, 0.362331, 0.281578, 0.319873, -0.50987, -0.355475, -0.842315, -0.941415, -0.894594, -0.944694, -1.28707, -1.27321, -1.41565, -1.54701, -1.91066
0.38, 0.0319375, 0.0624609, 0.413051, 0.152489, -0.231191, 0.20529, 0.496857, 0.332029, 0.836536, -0.0964837, 0.0200909, -0.933232, 0.368817, 0.443302, -0.279468, -0.069223, 0.271884, 0.0998835, -0.266206, 0.146425, -0.364986, -0.764298, -0.62123, -0.439785, -0.984008, -1.02018, -1.15855, -1.12899, -1.52507, -1.74339, -2.11627
